case,records,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
steady,0,0,32,700,0,0,0,0
steady,0,1,32,600,0,0,0,0
steady,0,2,32,500,0,0,0,0
steady,0,3,32,400,0,0,0,0
steady,0,4,32,400,0,0,0,0
steady,0,5,32,400,0,0,0,0
steady,0,6,32,500,0,0,0,0
steady,1,0,32,3400,0,0,0,0
steady,1,1,32,3500,0,0,0,0
steady,1,2,32,3400,0,0,0,0
steady,1,3,32,3400,0,0,0,0
steady,1,4,32,3400,0,0,0,0
steady,1,5,32,3400,0,0,0,0
steady,1,6,32,3500,0,0,0,0
steady,1000,0,32,3778000,0,0,0,0
steady,1000,1,32,5474200,0,0,0,0
steady,1000,2,32,3785400,0,0,0,0
steady,1000,3,32,3772800,0,0,0,0
steady,1000,4,32,3786700,0,0,0,0
steady,1000,5,32,3879000,0,0,0,0
steady,1000,6,32,3797800,0,0,0,0
steady,10000,0,32,37894500,0,0,0,0
steady,10000,1,32,37911300,0,0,0,0
steady,10000,2,32,38689600,0,0,0,0
steady,10000,3,32,76053800,0,0,0,0
steady,10000,4,32,56281900,0,0,0,0
steady,10000,5,32,55974400,0,0,0,0
steady,10000,6,32,57205400,0,0,0,0
steady,100000,0,32,459441400,0,0,0,0
steady,100000,1,32,605147600,0,0,0,0
steady,100000,2,32,582094700,0,0,0,0
steady,100000,3,32,662531500,0,0,0,0
steady,100000,4,32,622899600,0,0,0,0
steady,100000,5,32,548738800,0,0,0,0
steady,100000,6,32,426904700,0,0,0,0
cold,10000,0,1,1254400,1,0,400000,0
cold,10000,1,1,1185000,1,0,400000,0
cold,10000,2,1,1192200,1,0,400000,0
cold,10000,3,1,1176600,1,0,400000,0
cold,10000,4,1,1177500,1,0,400000,0
cold,10000,5,1,2845000,1,0,400000,0
cold,10000,6,1,1177600,1,0,400000,0
grow,100000,0,1,13571000,2,1,4400000,3960000
grow,100000,1,1,13617400,2,1,4400000,3960000
grow,100000,2,1,14892800,2,1,4400000,3960000
grow,100000,3,1,13596900,2,1,4400000,3960000
grow,100000,4,1,13968500,2,1,4400000,3960000
grow,100000,5,1,13574500,2,1,4400000,3960000
grow,100000,6,1,31092600,2,1,4400000,3960000
shrink,1000,0,32,21043600,0,0,0,0
shrink,1000,1,32,3776700,0,0,0,0
shrink,1000,2,32,3777800,0,0,0,0
shrink,1000,3,32,3773200,0,0,0,0
shrink,1000,4,32,21211100,0,0,0,0
shrink,1000,5,32,3784500,0,0,0,0
shrink,1000,6,32,3966700,0,0,0,0
alternate,10000,0,32,37896900,0,0,0,0
alternate,10000,1,32,37917600,0,0,0,0
alternate,10000,2,32,38342200,0,0,0,0
alternate,10000,3,32,38047000,0,0,0,0
alternate,10000,4,32,55877400,0,0,0,0
alternate,10000,5,32,40998500,0,0,0,0
alternate,10000,6,32,38074400,0,0,0,0
fresh_output,10000,0,32,42201200,32,0,12800000,0
fresh_output,10000,1,32,39558600,32,0,12800000,0
fresh_output,10000,2,32,39475800,32,0,12800000,0
fresh_output,10000,3,32,40060100,32,0,12800000,0
fresh_output,10000,4,32,47511200,32,0,12800000,0
fresh_output,10000,5,32,39450900,32,0,12800000,0
fresh_output,10000,6,32,39468300,32,0,12800000,0
fail_last,10000,0,32,37840700,32,0,1280,0
fail_last,10000,1,32,37938000,32,0,1280,0
fail_last,10000,2,32,38270500,32,0,1280,0
fail_last,10000,3,32,38262000,32,0,1280,0
fail_last,10000,4,32,55398300,32,0,1280,0
fail_last,10000,5,32,56300100,32,0,1280,0
fail_last,10000,6,32,56153200,32,0,1280,0
fail_last,100000,0,32,414801500,32,0,1280,0
fail_last,100000,1,32,450559400,32,0,1280,0
fail_last,100000,2,32,379560100,32,0,1280,0
fail_last,100000,3,32,385630100,32,0,1280,0
fail_last,100000,4,32,387341900,32,0,1280,0
fail_last,100000,5,32,380318400,32,0,1280,0
fail_last,100000,6,32,379180100,32,0,1280,0
retry,10000,0,32,37713800,16,0,640,0
retry,10000,1,32,37938500,16,0,640,0
retry,10000,2,32,38005400,16,0,640,0
retry,10000,3,32,37993700,16,0,640,0
retry,10000,4,32,37929900,16,0,640,0
retry,10000,5,32,38079900,16,0,640,0
retry,10000,6,32,37868700,16,0,640,0
retry,100000,0,32,381175600,16,0,640,0
retry,100000,1,32,379077000,16,0,640,0
retry,100000,2,32,384023600,16,0,640,0
retry,100000,3,32,382525700,16,0,640,0
retry,100000,4,32,429160700,16,0,640,0
retry,100000,5,32,397833300,16,0,640,0
retry,100000,6,32,394418500,16,0,640,0
parking,10000,0,32,93358800,0,0,0,0
parking,10000,1,32,93152000,0,0,0,0
parking,10000,2,32,91031200,0,0,0,0
parking,10000,3,32,91354100,0,0,0,0
parking,10000,4,32,91035400,0,0,0,0
parking,10000,5,32,94203800,0,0,0,0
parking,10000,6,32,93251500,0,0,0,0
parking,100000,0,32,910602500,0,0,0,0
parking,100000,1,32,985513800,0,0,0,0
parking,100000,2,32,918264900,0,0,0,0
parking,100000,3,32,926492400,0,0,0,0
parking,100000,4,32,916365000,0,0,0,0
parking,100000,5,32,971091500,0,0,0,0
parking,100000,6,32,952499000,0,0,0,0
retained_build,10000,0,3,3571900,2,0,800000,0
retained_build,100000,0,3,39040800,2,0,8000000,0
