case,dataset,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
source_full,all_active_10000,0,32,26523100,32,384,10485760,10483200
source_full,all_active_10000,1,32,26944800,32,384,10485760,10483200
source_full,all_active_10000,2,32,25787100,32,384,10485760,10483200
source_full,all_active_10000,3,32,25904700,32,384,10485760,10483200
source_full,all_active_10000,4,32,18761600,32,384,10485760,10483200
source_full,all_active_10000,5,32,28879800,32,384,10485760,10483200
source_full,all_active_10000,6,32,27551300,32,384,10485760,10483200
adapter_full,all_active_10000,0,32,82181400,32,384,10485760,10483200
adapter_full,all_active_10000,1,32,89773100,32,384,10485760,10483200
adapter_full,all_active_10000,2,32,87127400,32,384,10485760,10483200
adapter_full,all_active_10000,3,32,80726000,32,384,10485760,10483200
adapter_full,all_active_10000,4,32,71021000,32,384,10485760,10483200
adapter_full,all_active_10000,5,32,67983400,32,384,10485760,10483200
adapter_full,all_active_10000,6,32,75118900,32,384,10485760,10483200
transform_convert,all_active_10000,0,32,365700,0,0,0,0
transform_convert,all_active_10000,1,32,484500,0,0,0,0
transform_convert,all_active_10000,2,32,517700,0,0,0,0
transform_convert,all_active_10000,3,32,434700,0,0,0,0
transform_convert,all_active_10000,4,32,445900,0,0,0,0
transform_convert,all_active_10000,5,32,474800,0,0,0,0
transform_convert,all_active_10000,6,32,505300,0,0,0,0
fresh_output,all_active_10000,0,32,104108500,96,384,25845760,10483200
fresh_output,all_active_10000,1,32,113497200,96,384,25845760,10483200
fresh_output,all_active_10000,2,32,121091700,96,384,25845760,10483200
fresh_output,all_active_10000,3,32,113437800,96,384,25845760,10483200
fresh_output,all_active_10000,4,32,118709000,96,384,25845760,10483200
fresh_output,all_active_10000,5,32,105863200,96,384,25845760,10483200
fresh_output,all_active_10000,6,32,111879200,96,384,25845760,10483200
alternate,all_active_10000,0,32,81050800,32,384,10485760,10483200
alternate,all_active_10000,1,32,80502600,32,384,10485760,10483200
alternate,all_active_10000,2,32,76604900,32,384,10485760,10483200
alternate,all_active_10000,3,32,77485700,32,384,10485760,10483200
alternate,all_active_10000,4,32,73915400,32,384,10485760,10483200
alternate,all_active_10000,5,32,74376600,32,384,10485760,10483200
alternate,all_active_10000,6,32,69288600,32,384,10485760,10483200
source_full,all_active_100000,0,32,124753000,32,480,83886080,83883520
source_full,all_active_100000,1,32,95252900,32,480,83886080,83883520
source_full,all_active_100000,2,32,92933800,32,480,83886080,83883520
source_full,all_active_100000,3,32,89374900,32,480,83886080,83883520
source_full,all_active_100000,4,32,98994800,32,480,83886080,83883520
source_full,all_active_100000,5,32,92908400,32,480,83886080,83883520
source_full,all_active_100000,6,32,95054400,32,480,83886080,83883520
adapter_full,all_active_100000,0,32,501736600,32,480,83886080,83883520
adapter_full,all_active_100000,1,32,506352800,32,480,83886080,83883520
adapter_full,all_active_100000,2,32,511191700,32,480,83886080,83883520
adapter_full,all_active_100000,3,32,515174600,32,480,83886080,83883520
adapter_full,all_active_100000,4,32,501597200,32,480,83886080,83883520
adapter_full,all_active_100000,5,32,508113100,32,480,83886080,83883520
adapter_full,all_active_100000,6,32,490492900,32,480,83886080,83883520
transform_convert,all_active_100000,0,32,4918200,0,0,0,0
transform_convert,all_active_100000,1,32,4593400,0,0,0,0
transform_convert,all_active_100000,2,32,4573900,0,0,0,0
transform_convert,all_active_100000,3,32,5134600,0,0,0,0
transform_convert,all_active_100000,4,32,5075300,0,0,0,0
transform_convert,all_active_100000,5,32,5113900,0,0,0,0
transform_convert,all_active_100000,6,32,4943000,0,0,0,0
fresh_output,all_active_100000,0,32,521483400,96,480,237486080,83883520
fresh_output,all_active_100000,1,32,522841200,96,480,237486080,83883520
fresh_output,all_active_100000,2,32,511321000,96,480,237486080,83883520
fresh_output,all_active_100000,3,32,503740800,96,480,237486080,83883520
fresh_output,all_active_100000,4,32,517439200,96,480,237486080,83883520
fresh_output,all_active_100000,5,32,512245100,96,480,237486080,83883520
fresh_output,all_active_100000,6,32,514151400,96,480,237486080,83883520
alternate,all_active_100000,0,32,511364500,32,480,83886080,83883520
alternate,all_active_100000,1,32,501133000,32,480,83886080,83883520
alternate,all_active_100000,2,32,493500100,32,480,83886080,83883520
alternate,all_active_100000,3,32,497504400,32,480,83886080,83883520
alternate,all_active_100000,4,32,491614600,32,480,83886080,83883520
alternate,all_active_100000,5,32,481739100,32,480,83886080,83883520
alternate,all_active_100000,6,32,486345100,32,480,83886080,83883520
source_full,mixed_parking_10000,0,32,11360500,32,352,5242880,5240320
source_full,mixed_parking_10000,1,32,11614200,32,352,5242880,5240320
source_full,mixed_parking_10000,2,32,11996500,32,352,5242880,5240320
source_full,mixed_parking_10000,3,32,11958900,32,352,5242880,5240320
source_full,mixed_parking_10000,4,32,11605700,32,352,5242880,5240320
source_full,mixed_parking_10000,5,32,11331800,32,352,5242880,5240320
source_full,mixed_parking_10000,6,32,11102800,32,352,5242880,5240320
adapter_full,mixed_parking_10000,0,32,33533600,32,352,5242880,5240320
adapter_full,mixed_parking_10000,1,32,35741200,32,352,5242880,5240320
adapter_full,mixed_parking_10000,2,32,32827800,32,352,5242880,5240320
adapter_full,mixed_parking_10000,3,32,32373300,32,352,5242880,5240320
adapter_full,mixed_parking_10000,4,32,33214400,32,352,5242880,5240320
adapter_full,mixed_parking_10000,5,32,33927300,32,352,5242880,5240320
adapter_full,mixed_parking_10000,6,32,36016700,32,352,5242880,5240320
transform_convert,mixed_parking_10000,0,32,288100,0,0,0,0
transform_convert,mixed_parking_10000,1,32,348000,0,0,0,0
transform_convert,mixed_parking_10000,2,32,287700,0,0,0,0
transform_convert,mixed_parking_10000,3,32,293200,0,0,0,0
transform_convert,mixed_parking_10000,4,32,288000,0,0,0,0
transform_convert,mixed_parking_10000,5,32,287700,0,0,0,0
transform_convert,mixed_parking_10000,6,32,290500,0,0,0,0
source_full,mixed_parking_100000,0,32,156228000,32,448,41943040,41940480
source_full,mixed_parking_100000,1,32,148112300,32,448,41943040,41940480
source_full,mixed_parking_100000,2,32,148922500,32,448,41943040,41940480
source_full,mixed_parking_100000,3,32,151125400,32,448,41943040,41940480
source_full,mixed_parking_100000,4,32,143229700,32,448,41943040,41940480
source_full,mixed_parking_100000,5,32,151805100,32,448,41943040,41940480
source_full,mixed_parking_100000,6,32,150513000,32,448,41943040,41940480
adapter_full,mixed_parking_100000,0,32,372117500,32,448,41943040,41940480
adapter_full,mixed_parking_100000,1,32,383434200,32,448,41943040,41940480
adapter_full,mixed_parking_100000,2,32,379496400,32,448,41943040,41940480
adapter_full,mixed_parking_100000,3,32,380847200,32,448,41943040,41940480
adapter_full,mixed_parking_100000,4,32,365327100,32,448,41943040,41940480
adapter_full,mixed_parking_100000,5,32,367172200,32,448,41943040,41940480
adapter_full,mixed_parking_100000,6,32,364616500,32,448,41943040,41940480
transform_convert,mixed_parking_100000,0,32,2649800,0,0,0,0
transform_convert,mixed_parking_100000,1,32,2135600,0,0,0,0
transform_convert,mixed_parking_100000,2,32,2684300,0,0,0,0
transform_convert,mixed_parking_100000,3,32,2440800,0,0,0,0
transform_convert,mixed_parking_100000,4,32,2163000,0,0,0,0
transform_convert,mixed_parking_100000,5,32,2725300,0,0,0,0
transform_convert,mixed_parking_100000,6,32,2384800,0,0,0,0
source_full,high_completed_10000,0,32,1921800,32,256,655360,652800
source_full,high_completed_10000,1,32,2028600,32,256,655360,652800
source_full,high_completed_10000,2,32,1980800,32,256,655360,652800
source_full,high_completed_10000,3,32,2031400,32,256,655360,652800
source_full,high_completed_10000,4,32,1878300,32,256,655360,652800
source_full,high_completed_10000,5,32,1961200,32,256,655360,652800
source_full,high_completed_10000,6,32,2009700,32,256,655360,652800
