case,records,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
steady,0,0,32,600,0,0,0,0
steady,0,1,32,500,0,0,0,0
steady,0,2,32,500,0,0,0,0
steady,0,3,32,400,0,0,0,0
steady,0,4,32,500,0,0,0,0
steady,0,5,32,400,0,0,0,0
steady,0,6,32,400,0,0,0,0
steady,1,0,32,3800,0,0,0,0
steady,1,1,32,3700,0,0,0,0
steady,1,2,32,3800,0,0,0,0
steady,1,3,32,3700,0,0,0,0
steady,1,4,32,3800,0,0,0,0
steady,1,5,32,3800,0,0,0,0
steady,1,6,32,3700,0,0,0,0
steady,1000,0,32,3812900,0,0,0,0
steady,1000,1,32,3968000,0,0,0,0
steady,1000,2,32,3835400,0,0,0,0
steady,1000,3,32,3827900,0,0,0,0
steady,1000,4,32,3822000,0,0,0,0
steady,1000,5,32,3823800,0,0,0,0
steady,1000,6,32,3827900,0,0,0,0
steady,10000,0,32,38443300,0,0,0,0
steady,10000,1,32,38424000,0,0,0,0
steady,10000,2,32,39282900,0,0,0,0
steady,10000,3,32,56560000,0,0,0,0
steady,10000,4,32,79149500,0,0,0,0
steady,10000,5,32,63269900,0,0,0,0
steady,10000,6,32,56136300,0,0,0,0
steady,100000,0,32,610310900,0,0,0,0
steady,100000,1,32,613467000,0,0,0,0
steady,100000,2,32,571637000,0,0,0,0
steady,100000,3,32,445330800,0,0,0,0
steady,100000,4,32,552982000,0,0,0,0
steady,100000,5,32,582931900,0,0,0,0
steady,100000,6,32,519397600,0,0,0,0
cold,10000,0,1,1278100,0,0,0,0
cold,10000,1,1,1261600,0,0,0,0
cold,10000,2,1,1273300,0,0,0,0
cold,10000,3,1,1278000,0,0,0,0
cold,10000,4,1,1276400,0,0,0,0
cold,10000,5,1,1274800,0,0,0,0
cold,10000,6,1,1300600,0,0,0,0
grow,100000,0,1,25093000,0,0,0,0
grow,100000,1,1,14255400,0,0,0,0
grow,100000,2,1,14301400,0,0,0,0
grow,100000,3,1,14268200,0,0,0,0
grow,100000,4,1,14240400,0,0,0,0
grow,100000,5,1,14212600,0,0,0,0
grow,100000,6,1,14215200,0,0,0,0
shrink,1000,0,32,3816600,0,0,0,0
shrink,1000,1,32,8069600,0,0,0,0
shrink,1000,2,32,3817600,0,0,0,0
shrink,1000,3,32,3822500,0,0,0,0
shrink,1000,4,32,3831200,0,0,0,0
shrink,1000,5,32,21257300,0,0,0,0
shrink,1000,6,32,3814300,0,0,0,0
alternate,10000,0,32,59323000,0,0,0,0
alternate,10000,1,32,42044100,0,0,0,0
alternate,10000,2,32,39705700,0,0,0,0
alternate,10000,3,32,38649300,0,0,0,0
alternate,10000,4,32,38556500,0,0,0,0
alternate,10000,5,32,38484800,0,0,0,0
alternate,10000,6,32,39164100,0,0,0,0
fresh_output,10000,0,32,45802200,0,0,0,0
fresh_output,10000,1,32,40793300,0,0,0,0
fresh_output,10000,2,32,40081600,0,0,0,0
fresh_output,10000,3,32,40079700,0,0,0,0
fresh_output,10000,4,32,40394600,0,0,0,0
fresh_output,10000,5,32,40133300,0,0,0,0
fresh_output,10000,6,32,40048100,0,0,0,0
fail_last,10000,0,32,38089400,0,0,0,0
fail_last,10000,1,32,38074200,0,0,0,0
fail_last,10000,2,32,38234000,0,0,0,0
fail_last,10000,3,32,38200000,0,0,0,0
fail_last,10000,4,32,43452100,0,0,0,0
fail_last,10000,5,32,38258800,0,0,0,0
fail_last,10000,6,32,38143700,0,0,0,0
fail_last,100000,0,32,400717300,0,0,0,0
fail_last,100000,1,32,382212300,0,0,0,0
fail_last,100000,2,32,384160200,0,0,0,0
fail_last,100000,3,32,381274000,0,0,0,0
fail_last,100000,4,32,383304500,0,0,0,0
fail_last,100000,5,32,383836300,0,0,0,0
fail_last,100000,6,32,382950700,0,0,0,0
retry,10000,0,32,38064700,0,0,0,0
retry,10000,1,32,38060500,0,0,0,0
retry,10000,2,32,52065400,0,0,0,0
retry,10000,3,32,38104000,0,0,0,0
retry,10000,4,32,38540500,0,0,0,0
retry,10000,5,32,38343000,0,0,0,0
retry,10000,6,32,38012300,0,0,0,0
retry,100000,0,32,385692900,0,0,0,0
retry,100000,1,32,390444400,0,0,0,0
retry,100000,2,32,384480500,0,0,0,0
retry,100000,3,32,385426100,0,0,0,0
retry,100000,4,32,387556300,0,0,0,0
retry,100000,5,32,384959000,0,0,0,0
retry,100000,6,32,382700800,0,0,0,0
parking,10000,0,32,109862500,0,0,0,0
parking,10000,1,32,91431100,0,0,0,0
parking,10000,2,32,93053700,0,0,0,0
parking,10000,3,32,91564400,0,0,0,0
parking,10000,4,32,91487400,0,0,0,0
parking,10000,5,32,91253400,0,0,0,0
parking,10000,6,32,95138800,0,0,0,0
parking,100000,0,32,919141000,0,0,0,0
parking,100000,1,32,932729900,0,0,0,0
parking,100000,2,32,950212100,0,0,0,0
parking,100000,3,32,923508800,0,0,0,0
parking,100000,4,32,930022000,0,0,0,0
parking,100000,5,32,925063900,0,0,0,0
parking,100000,6,32,942428600,0,0,0,0
retained_build,10000,0,3,3625500,0,0,0,0
retained_build,100000,0,3,37323800,0,0,0,0
