case,records,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
steady,0,0,32,700,0,0,0,0
steady,0,1,32,600,0,0,0,0
steady,0,2,32,500,0,0,0,0
steady,0,3,32,500,0,0,0,0
steady,0,4,32,500,0,0,0,0
steady,0,5,32,400,0,0,0,0
steady,0,6,32,600,0,0,0,0
steady,1,0,32,3300,0,0,0,0
steady,1,1,32,3400,0,0,0,0
steady,1,2,32,3300,0,0,0,0
steady,1,3,32,3400,0,0,0,0
steady,1,4,32,3400,0,0,0,0
steady,1,5,32,3400,0,0,0,0
steady,1,6,32,3400,0,0,0,0
steady,1000,0,32,3775700,0,0,0,0
steady,1000,1,32,3984600,0,0,0,0
steady,1000,2,32,3860500,0,0,0,0
steady,1000,3,32,3768900,0,0,0,0
steady,1000,4,32,3766900,0,0,0,0
steady,1000,5,32,3769300,0,0,0,0
steady,1000,6,32,3780600,0,0,0,0
steady,10000,0,32,71706500,0,0,0,0
steady,10000,1,32,55823500,0,0,0,0
steady,10000,2,32,57015100,0,0,0,0
steady,10000,3,32,56189900,0,0,0,0
steady,10000,4,32,64192900,0,0,0,0
steady,10000,5,32,55564100,0,0,0,0
steady,10000,6,32,56475800,0,0,0,0
steady,100000,0,32,591530100,0,0,0,0
steady,100000,1,32,621218100,0,0,0,0
steady,100000,2,32,587443600,0,0,0,0
steady,100000,3,32,577831700,0,0,0,0
steady,100000,4,32,379318800,0,0,0,0
steady,100000,5,32,379174000,0,0,0,0
steady,100000,6,32,379713200,0,0,0,0
cold,10000,0,1,1221800,1,0,400000,0
cold,10000,1,1,1195100,1,0,400000,0
cold,10000,2,1,1180800,1,0,400000,0
cold,10000,3,1,1186500,1,0,400000,0
cold,10000,4,1,1178700,1,0,400000,0
cold,10000,5,1,1177400,1,0,400000,0
cold,10000,6,1,1174200,1,0,400000,0
grow,100000,0,1,13536700,2,1,4400000,3960000
grow,100000,1,1,13478500,2,1,4400000,3960000
grow,100000,2,1,13821700,2,1,4400000,3960000
grow,100000,3,1,13546800,2,1,4400000,3960000
grow,100000,4,1,13546800,2,1,4400000,3960000
grow,100000,5,1,13491100,2,1,4400000,3960000
grow,100000,6,1,13458600,2,1,4400000,3960000
shrink,1000,0,32,3768900,0,0,0,0
shrink,1000,1,32,3780500,0,0,0,0
shrink,1000,2,32,3774700,0,0,0,0
shrink,1000,3,32,3775200,0,0,0,0
shrink,1000,4,32,3782100,0,0,0,0
shrink,1000,5,32,3779800,0,0,0,0
shrink,1000,6,32,3787400,0,0,0,0
alternate,10000,0,32,41092700,0,0,0,0
alternate,10000,1,32,37823200,0,0,0,0
alternate,10000,2,32,37869800,0,0,0,0
alternate,10000,3,32,37837400,0,0,0,0
alternate,10000,4,32,37819100,0,0,0,0
alternate,10000,5,32,37789200,0,0,0,0
alternate,10000,6,32,37812800,0,0,0,0
fresh_output,10000,0,32,41253700,32,0,12800000,0
fresh_output,10000,1,32,39367900,32,0,12800000,0
fresh_output,10000,2,32,39428400,32,0,12800000,0
fresh_output,10000,3,32,39420300,32,0,12800000,0
fresh_output,10000,4,32,39361300,32,0,12800000,0
fresh_output,10000,5,32,39362100,32,0,12800000,0
fresh_output,10000,6,32,39386500,32,0,12800000,0
fail_last,10000,0,32,37812200,32,0,1280,0
fail_last,10000,1,32,37841400,32,0,1280,0
fail_last,10000,2,32,37907500,32,0,1280,0
fail_last,10000,3,32,37938100,32,0,1280,0
fail_last,10000,4,32,37872100,32,0,1280,0
fail_last,10000,5,32,38056800,32,0,1280,0
fail_last,10000,6,32,37799700,32,0,1280,0
fail_last,100000,0,32,378439300,32,0,1280,0
fail_last,100000,1,32,380923900,32,0,1280,0
fail_last,100000,2,32,379262000,32,0,1280,0
fail_last,100000,3,32,380465200,32,0,1280,0
fail_last,100000,4,32,378964600,32,0,1280,0
fail_last,100000,5,32,378677900,32,0,1280,0
fail_last,100000,6,32,381435000,32,0,1280,0
retry,10000,0,32,37795100,16,0,640,0
retry,10000,1,32,37760800,16,0,640,0
retry,10000,2,32,38294500,16,0,640,0
retry,10000,3,32,37836700,16,0,640,0
retry,10000,4,32,37746900,16,0,640,0
retry,10000,5,32,38018800,16,0,640,0
retry,10000,6,32,37895200,16,0,640,0
retry,100000,0,32,378378600,16,0,640,0
retry,100000,1,32,380681800,16,0,640,0
retry,100000,2,32,381012800,16,0,640,0
retry,100000,3,32,378506800,16,0,640,0
retry,100000,4,32,380308300,16,0,640,0
retry,100000,5,32,378548800,16,0,640,0
retry,100000,6,32,378537400,16,0,640,0
parking,10000,0,32,91204900,0,0,0,0
parking,10000,1,32,91314700,0,0,0,0
parking,10000,2,32,91154700,0,0,0,0
parking,10000,3,32,91049100,0,0,0,0
parking,10000,4,32,91257000,0,0,0,0
parking,10000,5,32,91166100,0,0,0,0
parking,10000,6,32,92301500,0,0,0,0
parking,100000,0,32,917119600,0,0,0,0
parking,100000,1,32,913782600,0,0,0,0
parking,100000,2,32,915633200,0,0,0,0
parking,100000,3,32,919039200,0,0,0,0
parking,100000,4,32,918855400,0,0,0,0
parking,100000,5,32,915677500,0,0,0,0
parking,100000,6,32,912683900,0,0,0,0
retained_build,10000,0,3,3581300,2,0,800000,0
retained_build,100000,0,3,36240700,2,0,8000000,0
